"Country or Area","Year","Value","Value Footnotes"
"Brazil","2022","3837260590100.2065",""
"Brazil","2021","3484965550401.372",""
"Brazil","2020","3176647148134.662",""
"Brazil","2019","3241959851105.3945",""
"Brazil","2018","3146415537923.591",""
"Brazil","2017","3018705988834.89",""
"Brazil","2016","2939094210373.691",""
"Brazil","2015","3014754849735.876",""
"Brazil","2014","3187155079572.03",""
"Brazil","2013","3133893649534.8013",""
"Brazil","2012","2998534424980.6484",""
"Brazil","2011","2970630762099.602",""
"Brazil","2010","2798924733572.4067",""
"Brazil","2009","2572056702791.3477",""
"Brazil","2008","2558895374170.5806",""
"Brazil","2007","2389038740946.6587",""
"Brazil","2006","2193057535043.849",""
"Brazil","2005","2046338691498.6624",""
"Brazil","2004","1922557348334.823",""
"Brazil","2003","1770327038984.7485",""
"Brazil","2002","1716481965947.431",""
"Brazil","2001","1640061928804.6702",""
"Brazil","2000","1581938922711.129",""
"Brazil","1999","1481869627084.8323",""
"Brazil","1998","1454470819899.7",""
"Brazil","1997","1433436057292.6157",""
"Brazil","1996","1362869157897.3247",""
"Brazil","1995","1309440382639.6204",""
"Brazil","1994","1230569918658.6653",""
"Brazil","1993","1138222746883.5256",""
"Brazil","1992","1059681669190.5522",""
"Brazil","1991","1041738357708.6351",""
"Brazil","1990","997366926074.8618",""

